,会社名,給与,初年度年収
0,株式会社モバイルコミュニケーションズ,＜関東＞ ◆経験者：月給23万円以上 ◆未経験：月給18.5万円以上 ＜大阪＞ ◆経験者：月給23万円以上 ◆…,250万円～600万円
1,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
2,ダイダン株式会社 | 東証一部上場／完全週休2日／賞与年8.16ヶ月分(直近3年の平均),"■月給211,000〜385,000円 + 各種手当 + 賞与年2回 ※経験・年齢などを考慮の上、当社規定により決定・…",不明
3,エヌ・ティ・ティ・インフラネット株式会社 | 土日祝休み／年間休日140日／有給100％取得／残業月平均16時間,"■大学卒：月給215,400円 ■高専卒：月給189,160円 ■高校卒：月給176,750円 ※上記はあくまで最低支…",300万円～550万円
4,株式会社アウトソーシングテクノロジー | テクノロジーを学ぶ4週間研修あり／20代30代活躍中／WEB面接可,◇月給18万円〜45万円＋一律手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…,280万円～600万円
5,株式会社セラク | 大阪府緊急雇用対策に賛同 ◇東証一部上場・創業34年,月給23万円〜45万円 ※社会人経験・スキルや年齢、前職給与額等、考慮し優遇 ※上記には20時間分(3万円…,350万円～600万円
6,株式会社ワンブリッジ | 【エンジニアとして高みへ目指す】◆手厚い手当&福利厚生,月給25万円以上 ＋ 各種手当 + 賞与年2回 ＜想定月収例＞ 月収40万円（入社1年目）※各種手当含む ※前…,440万円～700万円
7,株式会社九州ソフタス | 【 官公庁や大手通信会社等との取引多数 】★PL・PMも目指せる！,月給25万円〜40万円 + 諸手当 ＋ 賞与年2回 ※年齢、経験、能力を考慮の上、優遇します。 ※残業が発生し…,375万円～600万円
8,株式会社アイエスエフネット | ＊在宅比率55.7％ ＊有給取得率81％ ＊年間休日126日／土日祝,月給27万円〜　＋　インセンティブ賞与・諸手当 ※経験・スキル、取得資格を考慮して決定します ※試用…,360万円～700万円
9,株式会社アルファシステムズ | 【東証一部上場／49年間黒字経営を継続中】★社員定着率97.1％,"◆月給(最低保証給)／21万9,000円以上 ＋賞与年2回(更に業績により期末賞与あり)・各種手当を別途支給し…",350万円～500万円
10,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
11,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…,600万円～1000万円
12,株式会社三協テクノ | 【東証一部上場企業グループ】※大阪府緊急雇用対策に賛同,"月給18万3,440円〜＋諸手当＋賞与年2回 【賞与昨年実績5.4ヵ月分】 ※経験・能力・年齢を考慮の上、当社…",不明
13,株式会社アーキ・ジャパン | 完全週休2日/同期多数/未経験歓迎【大阪府緊急雇用対策に賛同】,◆月給24万1760円〜(一律支給の手当含む)/関東・関西・中部圏 ◆月給21万2020円〜(一律支給の手当含む)/…,350万円～750万円
14,Earth Technology株式会社 | 英語力を活かせる／IT未経験入社9割／文系出身8割／女性活躍中,"◆関東エリア：月給225,000円以上＋賞与年2回 ◆関西エリア：月給215,000円以上＋賞与年2回 ◆札幌エリア…",300万円～500万円
15,株式会社エイチ・エル・シー | ★住宅手当・家族手当など手当充実 ★年休日125日/残業月7h程度,"【未経験者】月給17.2万円以上+各種手当 ＜初年度想定月収＞ 月収264,340円（23歳、各種手当を含む） …",320万円～500万円
