,会社名,給与,初年度年収
0,株式会社モバイルコミュニケーションズ,＜関東＞ ◆経験者：月給23万円以上 ◆未経験：月給18.5万円以上 ＜大阪＞ ◆経験者：月給23万円以上 ◆…,250万円～600万円
1,KDDIエンジニアリング株式会社 | 【東証1部・KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
2,株式会社スタッフサービス | <在宅あり>充実のサポート制度♪土日祝休み★基本定時退社,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…,250万円～350万円
3,株式会社アウトソーシングテクノロジー | テクノロジーを学ぶ4週間研修あり／20代30代活躍中／WEB面接可,◇月給18万円〜45万円＋一律手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…,280万円～600万円
4,テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,月給22万円以上＋諸手当＋賞与年2回＋業績賞与（業績による） ※経験・年齢を考慮の上、当社規定により…,300万円～600万円
5,KDDIエンジニアリング株式会社 | 【KDDI(東証1部上場)の子会社】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
6,株式会社ドリーム・サービス | 未経験から年収700万円を目指せる/基本定時退社/有休消化100％,月給 21万円 〜 30万円 + 諸手当 + 賞与(年2回) 《モデル年収例》 年収700万円／25歳・経験3年 年収400…,不明
7,株式会社スタッフサービス | <在宅あり>充実の研修制度★育休取得率100％★女性活躍中,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…,250万円～350万円
8,株式会社 One's Will | ★未経験入社1年目の平均年収450万円★残業月10～15時間程度,"【関東】 月給250,000円〜 ※試用期間中:月給230,000円〜 【関西】 月給240,000円〜 ※試用期間中：月給…",300万円～700万円
9,光ビジネスフォーム株式会社 | ジャスダック上場*フレックス制*大手や官公庁と直取引*年休126日,月給25万円〜月給35万円 ※経験や能力を考慮の上、当社規定により優遇致します。,不明
10,Earth Technology株式会社 | 英語力を活かせる／IT未経験入社9割／文系出身8割／女性活躍中,"◆関東エリア：月給225,000円以上＋賞与年2回 ◆関西エリア：月給215,000円以上＋賞与年2回 ◆札幌エリア…",300万円～500万円
11,株式会社KDDIエボルバ | 東証1部上場企業グループ◆テレワーク可！賞与年2回／年休123日,月給25万円〜+残業手当（1分単位で支給）+諸手当 ※支給額は年齢、能力により、当社規定により決定します…,350万円～650万円
12,トーテックアメニティ株式会社 | 社内ITスクール完備！★2000名超のエンジニアがいる独立系企業,＜東京・神奈川・埼玉・千葉＞ 月給20万6500円〜22万5000円＋各種手当+残業手当（全額支給）+賞与年2回（…,350万円～550万円
13,株式会社ウエストネット・テクノロジー | ★引越し手当10万円＋入社祝金10万円★社員寮あり★年休130日,〈月給〉33万円〜65万円 ★前職給与保証！ ※経験・スキル等を最大限に考慮のうえ決定。 ※残業が発生し…,400万円～800万円
14,滋賀トヨペット株式会社 | ★週休2日★年間休日110日★転勤なし★手当もしっかり★,月給19万300円〜+各種諸手当+賞与年3回 ※最低保証額となります。経験・年齢を考慮の上、優遇します。 …,不明
15,株式会社ＪＷソリューション | 東証一部上場を親子会に持つ安定企業｜残業月10H以下★完週休2日,【関東】 月給22万円以上＋賞与年2回＋インセンティブ ※上記は、固定残業代（月15時間分／2万2000円以上…,不明
16,株式会社グッドワークコミュニケーションズ | 全国の拠点で募集／上京支援あり（最大10万円）,関東エリア 月給25.1万円〜 （固定残業代1.7万円〜10時間分を含む） 関西・中部エリア 月給24万円〜 （…,350万円～800万円
17,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,月給25万円以上＋高率インセンティブ＋随時昇給 ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の…,500万円～1000万円
