,会社名,給与,初年度年収
0,テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,月給22万円以上＋諸手当＋賞与年2回＋業績賞与（業績による） ※経験・年齢を考慮の上、当社規定により…,300万円～600万円
1,アフラック保険サービス株式会社 | ★最短10月入社★年休126日以上★賞与年4回！充実の評価,月給25万円〜30万円＋インセンティブ+賞与（年4回） ※前職の経験・能力を考慮の上、当社規程により決定…,300万円～600万円
2,株式会社WEDGE | 2021年10月以降OPEN｜20代女性活躍中｜大阪府緊急雇用対策に賛同,■月給17万円〜＋手当＋賞与 ※経験、年齢、能力を考慮のうえ決定します ※試用期間（3〜6ヶ月）は月給1…,不明
3,トーテックアメニティ株式会社 | 社内ITスクール完備！★2000名超のエンジニアがいる独立系企業,＜東京・神奈川・埼玉・千葉＞ 月給20万6500円〜22万5000円＋各種手当+残業手当（全額支給）+賞与年2回（…,350万円～550万円
4,クルーガーグループ株式会社 | 全国で複数名採用／面接1回／自由な月9日休み／福利厚生◎,■月給制 【関東・甲信越】25万円〜＋歩合 【神奈川】26万円〜 【青森】24万円〜 【北海道・宮城】23万円…,450万円～850万円
5,株式会社広真アド | 創業30年/教育業界に特化した総合広告会社/スキルUPを積極支援,"月給214,400円〜321,420円 ※経験・年齢・意欲・能力を考慮の上、当社規定により決定いたします ※上記…",300万円～450万円
6,レイス株式会社 | 国内TOPクラスの総合コンサルティング会社,"月給30万円〜75万円 ※経験・能力を考慮の上決定します。 ※一律指定職種手当 (30,000円)を含む。 ※月6…",450万円～1050万円
7,株式会社スリーリングス | 20代が活躍中★ZIP/スッキリ/モニタリング/ポツンと一軒家/Nスタ,"月給240,000円以上＋別途諸手当 ※この仕事に活かせそうな経験やスキルを考慮し、 当社規定により金額を…",不明
8,株式会社HIROTSUバイオサイエンス | トッパン・フォームズやエイベックス等が出資 ◆年休125日,"月給48万3,000円以上 ※その方の経験・スキルに応じて決定いたします。 ※試用期間3ヶ月あり（待遇に変…",不明
9,株式会社片平新日本技研 | 【交通インフラ総合コンサルタント】NEXCOや国土交通省案件中心,"月給280,000円〜 住宅手当30,000円、施工管理手当35,000円含む（一律含みます） ※業務経歴、保有資格、…",540万円～800万円
10,株式会社トラストネットワーク | テレビ朝日グループ◆創業30周年！正社員登用の実績多数！,月給20万5100円〜30万円 ※経験・能力により当社規定により決定します。 ※前職考慮 ※みなし残業代／月…,250万円～400万円
11,Ronkジャパン株式会社 | 年間休日122日(昨年度実績)／土日＋祝日休み／残業ほぼナシ,月給：25万円〜＋充実のインセンティブあり◎ ※試用期間3ヶ月あり。 　(期間中待遇に変動はありません),400万円～600万円
12,濱野鋼業株式会社 | キレイな社員寮完備(月約2万円※光熱費込)／年収例600万円(30代),"月給19万5,000円〜23万1,400円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3〜6ヵ月…",320万円～400万円
13,株式会社カズテクニカ | 世界トップクラスの企業と取引多数◆年休120日以上◆賞与年2回,月給20万〜30万円 ※年齢・能力を考慮の上決定いたします。 ※能力に応じて上記以上の加給もございます。…,300万円～450万円
14,株式会社クオリス | ＊ソニー、東芝と取引実績＊リモートワーク実施中＊残業月10h程,■月給23万5000円〜30万円 ※経験・能力などを考慮し、当社規定により優遇します ※試用期間6ヶ月あり。…,350万円～500万円
15,株式会社インテックス | ■年間休日113日以上/完全週休2日制(土日祝) ■WEB面接可能,月給20万円〜 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面…,不明
16,株式会社インフラックス | 【完全週休2日制・年間休日120日以上・正社員登用実績も多数！】,月給：21万円以上＋残業代全額支給 ◎今回の転職が不利にならないよう、あなたの経験・スキルを考慮の上…,280万円～400万円
17,サントリーパブリシティサービス株式会社 | ☆サントリーグループならではの安定基盤を誇る！,月給19万5300円以上 ※別途残業手当あり ※賞与制度あり ※試用期間3ヶ月あり（待遇面に変更はありません）,250万円～300万円
18,株式会社インテックス | ■完全週休2日制(土日祝) ■責任者候補として採用を予定！,月給20万円〜 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面…,不明
19,テレコムスタッフ株式会社,固定月額報酬23.3万円以上 ＜業務委託契約＞ 報酬は、経験等を踏まえ相談の上で決定,不明
20,株式会社ONE | フレキシブルな勤務体型／年間休日120日／土日祝休み,"月給23万円以上 ※経験・能力を考慮の上優遇 ※上記にはみなし残業代45時間分(59,000円〜)を含む。超過…",300万円～600万円
21,株式会社SeriousProSupport | 【家具付寮完備】★全力!脱力タイムズ★かりそめ天国★ロンハー,月給20万円〜30万円＋賞与年2回 ※残業代は別途支給します。 ※上記給与は、あくまで最低保証額です。 …,300万円～600万円
