,会社名,給与,初年度年収
0,トヨタ自動車株式会社 | 1年目で月収29万円以上も可／年休120日以上／最短9月入社募集中,"日給10,000円以上 ◎月収例 29万1020円〜31万3750円 ※1年目、21日勤務、残業20時間、深夜手当35時間、…",不明
1,トヨタホーム茨城株式会社 | “人生をごいっしょに。Sincerely for You”,月給21万円〜25万円+キャリア手当（採用より8〜10ヶ月）＋各種報奨金+別途資格手当あり ※経験・年齢を考…,330万円～500万円
2,エヌティーテクノ株式会社 | アイシングループと取引｜スピード選考で内定まで1ヵ月以内！,【大卒以上】月給20万円以上 【高卒以上】月給17万円以上 ※年齢・経験・能力を考慮の上優遇します。 ※…,350万円～450万円
3,日邦興産株式会社 | ダイハツやホンダと直取引する設備メーカー！★決算賞与あり,◆月給30万〜45万円＋諸手当＋賞与年2回 ※経験・年齢・前職の給与などを考慮した上で、決定・優遇いた…,450万円～670万円
4,ワイクリード株式会社 | 創業65年!TOYOTAなどの大手と自動車部品で取引！*福利厚生充実,"月給16万5,000円~25万9,000円（一律手当含む）＋通勤手当＋賞与年2回 ※年齢や経験などを考慮の上、支給…",250万円～380万円
5,株式会社旭洋工業製作所 | 【直近20年間無借金経営】賞与年5.23ヶ月◆年休120日(土日休み),"月給164,560 円〜261,240円＋各種手当＋賞与年2回（2020年実績:5.23ヵ月支給！） ※経験・年齢を考慮の…",300万円～460万円
6,トヨタＬ&Ｆ富山株式会社 | 富山に根差した”品川グループ”×世界ブランド”TOYOTA”の一員,"月給184,000円以上＋諸手当 ★月収例355,000円・年収例517万円／35歳(中途入社4年目) 【 その他の月収例…",不明
7,トヨタエルアンドエフ神奈川株式会社 | TOYOTAグループの一員／完週休2日&残業月平均14時間！,"月給184,000円以上 【モデル月収例】 基本給(29歳)226,000円 +残業代：26,000円（月平均14時間） ＋資格…",不明
8,ネッツトヨタウエスト兵庫株式会社 | 【TOYOTAグループ】売上高122億円超の安定企業｜年間休日110日,"◆月給／18万9,000円以上＋諸手当＋賞与（年2回） ※新卒初任給です。 　経験・スキルに応じて優遇します。",330万円～400万円
9,旭川トヨタ自動車株式会社 | 【創業74年／エリア密着型企業】マイナビ転職からの入社実績あり,"月給：160,000円〜240,000円 ※経験・年齢を考慮の上、当社規定により優遇します。",250万円～400万円
10,ネッツトヨタウエスト兵庫株式会社 | 【TOYOTAグループ】売上高110億円超の安定企業｜年間休日110日,"◆月給18万9,000円以上＋諸手当＋賞与（年2回） ※新卒初任給です。 　経験・スキルに応じて優遇します。…",330万円～400万円
11,株式会社ミサワ | 【東証一部上場】★賞与年2～3回★報奨金・社割あり★複数名採用,月給20万円〜＋インセンティブ ※固定残業代15h分＜1万9995円〜＞含む ★経験・スキル等を考慮し決定。 …,不明
12,株式会社エース | 様々な個性のモデルが活躍するモデル事務所／女性スタッフ活躍中,月給20万円〜 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間6ヶ月あり（待遇変動なし） 【…,300万円～400万円
