,会社名,初年度年収,給与
0,株式会社 One's Will | ★毎月＋年2回インセンティブあり★残業月10h程度★有給消化100%,300万円～500万円,【関東エリア】月給 25万円以上 ※試用期間中は月給23万円以上 【関西エリア】月給24万円以上 ※試用期…
1,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,250万円～450万円,"◆月給208,000円以上＋各種手当・報奨金 ※前職給与や経験・スキルなどを考慮し加給・優遇します。 ※上…"
2,株式会社アウトソーシングテクノロジー | 機械が好き・自分を変えたいなどの100％人柄採用／WEB面接OK,250万円～600万円,◇月給20万円〜30万円＋各種手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…
3,株式会社セノン | 大阪府緊急雇用対策に賛同／賞与最大年3回／福利厚生充実,280万円～380万円,"月給17万5,000円~+各種手当+賞与 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします …"
4,株式会社スタッフサービス | ＜実績No.1＞年間休日125日★未経験70％★産育休復帰多数,250万円～350万円,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…
5,株式会社アウトソーシングテクノロジー | #手に職をつける#将来の可能性を広げる#業績好調#WEB面接可,280万円～600万円,◇月給20万円〜45万円＋一律手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…
6,株式会社スタッフサービス | <在宅あり>充実のサポート制度♪土日祝休み★基本定時退社,250万円～350万円,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…
7,株式会社アウトソーシングテクノロジー | 10月・11月入社募集/20代在籍52.9％/トヨタグループ・他大手企業,330万円～600万円,◇月給20万円〜45万円＋一律手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…
8,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,500万円～1000万円,月給25万円以上＋高率インセンティブ＋随時昇給 ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の…
9,株式会社ボードルア | ★残業ほぼなし★完全週休2日(年休125日以上)★オフィスは六本木,300万円～700万円,月給20万7000円〜50万円＋賞与＋交通費＋残業手当+その他手当 【給与とは別に資格手当もあります！】 CC…
10,ライクスタッフィング株式会社 | 東証一部上場ライクグループ◆業界TOPクラス◆20～30代活躍中,410万円～800万円,◆営業管理職 年俸512万円〜800万円 ※年俸額の1/12を毎月支給します。 ※管理職採用となり、管理監督者…
11,株式会社グッドワークコミュニケーションズ | 全国の拠点で募集／上京支援あり（最大10万円）,350万円～800万円,関東・東北エリア 月給25.1万円〜 （固定残業代月10h/1.7万円〜含） 関西・その他エリア 月給24万円〜 …
12,株式会社デルタ総研 | 13期連続で増収増益中の安定企業★在宅ワークあり★実務未経験OK,300万円～500万円,＜未経験の方＞ 月給24万2000円〜（年収306万円） ＜経験者の方＞ 月給29万6000円〜（年収374万円） ※…
13,株式会社グッドワークコミュニケーションズ | 正社員デビューOK／全国拠点で募集／上京支援あり（最大10万円）,300万円～800万円,"月給制 【関東】月給：210,000~251,000円 【関西】月給：210,000~240,000円 【その他エリア】月給：190,0…"
14,株式会社アトラクトモバイル | 有給の平均取得日数12日／残業ほぼなし／来年は年休120日へ,不明,月給20万円〜25万円 ※経験、能力、年齢に応じて金額を決定します。 ※上記は固定残業手当（15時間分／1…
15,株式会社RUSHNetWork | 《NURO光、KDDI、NTT、ケーブルTVと強固なパイプで安定性抜群》,300万円～500万円,◆月給25万〜40万円＋各種手当＋賞与2回 ※経験・スキル等を考慮の上、当社規定により決定します。 ※試…
